Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-25T13:15:04.958658,516,0,57,88,0,3864,9029,13985,0.428,1.0847,1872.47,5663.62,29443.83,0.3306,3.907,
2026-05-25T13:15:05.962992,517,0,70,84,0,16837,18772,24827,0.8969,0.6972,20441.96,8794.05,17127.93,2.3245,0.5859,
2026-05-25T13:15:06.966922,510,0,100,90,0,15715,29572,21995,0.5314,0.4857,94798.39,18582.21,55979.03,5.1016,0.4937,
2026-05-25T13:15:07.970295,500,0,100,100,0,413543,86286,63128,4.7927,0.1263,49420.66,17753.13,41032.27,2.7838,0.6108,
2026-05-25T13:15:08.981999,536,0,77,84,0,11449,9149,21767,1.2514,1.0568,10696.86,22811.75,63314.11,0.4689,1.8895,
2026-05-25T13:15:09.985997,514,0,77,66,0,55461,16628,29700,3.3354,0.412,266983.45,79000.33,35709.35,3.3795,0.1032,
2026-05-25T13:15:10.989198,512,0,61,47,0,50170,18519,6130,2.7091,0.0892,183225.49,24103.88,47736.31,7.6015,0.2302,
2026-05-25T13:15:11.993261,516,0,40,29,0,61307,10560,10482,5.8056,0.1459,271094.98,86775.14,40713.16,3.1241,0.1138,
2026-05-25T13:15:12.997492,509,0,51,24,0,39838,16785,13866,2.3734,0.2449,60370.95,10028.05,42272.94,6.0202,0.6005,
2026-05-25T13:15:14.001993,491,0,30,30,0,33056,12538,49006,2.6365,1.0748,5643.95,3346.21,15277.43,1.6867,1.6994,
2026-05-25T13:15:15.005248,541,0,43,23,0,11381,13498,10392,0.8432,0.4177,32813.38,20668.99,10033.16,1.5876,0.1876,
2026-05-25T13:15:16.009653,514,0,66,37,0,27312,23884,20914,1.1435,0.4085,7341.61,7246.39,18368.17,1.0131,1.2591,
2026-05-25T13:15:17.014290,516,0,75,63,0,3868,8882,8036,0.4355,0.6303,1402.54,2884.82,15328.56,0.4862,3.5753,
2026-05-25T13:15:18.017127,494,0,90,83,0,6561,16768,14561,0.3913,0.6242,5282.49,15819.85,13907.23,0.3339,0.659,
2026-05-25T13:15:19.020976,533,0,81,100,0,13300,27677,12181,0.4805,0.2973,15996.52,9418.31,16307.19,1.6984,0.6416,
2026-05-25T13:15:20.024391,511,0,78,100,0,8143,9145,10030,0.8904,0.5802,833526.14,216611.36,33917.83,3.848,0.0323,
2026-05-25T13:15:21.027340,515,0,87,100,0,13985,4197,5807,3.3321,0.3194,4002.49,7218.94,23174.07,0.5544,2.0652,
2026-05-25T13:15:22.030733,502,0,66,88,0,2094,6850,21119,0.3057,2.3612,2667.39,4868.26,21420.56,0.5479,2.8426,
2026-05-25T13:15:23.034057,526,0,77,64,0,14550,7756,7459,1.876,0.3344,331561.55,100210.79,18179.18,3.3086,0.0421,
2026-05-25T13:15:24.037622,514,0,80,44,0,23242,33375,25740,0.6964,0.4546,5051.19,3698.63,8869.68,1.3657,1.0137,
2026-05-25T13:15:25.042354,479,0,66,51,0,10854,7332,7867,1.4804,0.4326,22855.4,8629.11,6842.81,2.6486,0.2173,
2026-05-25T13:15:26.090356,562,0,75,61,0,42093,13717,12761,3.0687,0.2287,3439.44,13873.29,7171.44,0.2479,0.4142,
2026-05-25T13:15:27.092966,523,0,47,57,0,21026,23702,10073,0.8871,0.2252,120314.86,72420.03,31790.17,1.6613,0.1649,
2026-05-25T13:15:28.097772,514,0,43,67,0,38799,19268,7748,2.0136,0.1334,3946.03,26888.48,11447.6,0.1468,0.3713,
2026-05-25T13:15:29.101755,473,0,26,60,0,9946,32258,10357,0.3083,0.2454,906.43,6271.57,6291.79,0.1445,0.8765,
2026-05-25T13:15:30.106275,554,0,16,78,0,8220,31204,11083,0.2634,0.2811,53472.85,26666.82,22526.51,2.0052,0.2811,
2026-05-25T13:15:31.109377,516,0,14,100,0,48755,46854,16425,1.0406,0.1718,196430.7,44871.88,12286.34,4.3776,0.0509,
2026-05-25T13:15:32.113616,509,0,8,100,0,14904,3114,4723,4.7861,0.2621,171363.83,49935.13,20441.62,3.4317,0.0924,
2026-05-25T13:15:33.116872,489,0,23,83,0,73982,18523,9602,3.9941,0.1038,429631.73,38746.9,179348.0,11.0882,0.3829,
2026-05-25T13:15:34.121236,544,0,10,53,0,87231,12407,13387,7.0308,0.1344,402665.17,21274.25,23786.31,18.9273,0.0561,
2026-05-25T13:15:35.123967,514,0,10,13,0,92242,6207,3079,14.861,0.0313,8808.12,20483.47,10809.41,0.43,0.369,
2026-05-25T13:15:36.127021,513,0,1,1,0,2371,22982,9672,0.1032,0.3815,5390.82,6565.1,5867.6,0.8211,0.4908,
2026-05-25T13:15:37.129005,497,0,1,20,0,3857,16812,9724,0.2294,0.4705,1777.2,5800.3,10036.0,0.3064,1.3244,
2026-05-25T13:15:38.132395,530,0,24,47,0,3601,8381,12446,0.4297,1.0387,861238.71,102491.41,28114.69,8.403,0.0292,
2026-05-25T13:15:39.134698,513,0,50,70,0,26038,11949,16743,2.1791,0.4408,11497.48,3612.7,12819.85,3.1825,0.8484,
2026-05-25T13:15:40.137967,512,0,74,88,0,14527,12436,8675,1.1681,0.3217,2485.14,6919.65,7292.62,0.3591,0.7754,
2026-05-25T13:15:41.139720,514,0,74,74,0,6316,10735,11101,0.5884,0.651,4362.15,4564.85,5483.31,0.9556,0.6142,
