Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-05T10:53:10.053038,500,0,50,50,0,50975,28717,27267,1.7751,0.3422,100673.09,14411.72,21074.13,6.9855,0.1831,
2026-05-05T10:53:11.054610,526,0,67,54,0,72808,2239,5731,32.5181,0.0764,11844.04,993.82,13153.17,11.9177,1.0246,
2026-05-05T10:53:12.056702,513,0,41,26,0,36370,21469,9134,1.6941,0.1579,693800.99,54797.17,28647.1,12.6613,0.0383,
2026-05-05T10:53:13.058660,466,0,47,24,0,90092,31810,11715,2.8322,0.0961,553644.17,120239.71,87628.67,4.6045,0.13,
2026-05-05T10:53:14.060537,559,0,47,26,0,47812,52565,27159,0.9096,0.2706,848764.02,181549.52,32737.74,4.6751,0.0318,
2026-05-05T10:53:15.062447,515,0,50,30,0,29022,5425,7838,5.3497,0.2275,36136.08,25370.69,27262.15,1.4243,0.4432,
2026-05-05T10:53:16.064239,512,0,64,44,0,62652,30294,21962,2.0681,0.2363,19594.57,4538.05,17398.17,4.3178,0.7209,
2026-05-05T10:53:17.065619,485,0,69,43,0,10561,10266,5588,1.0287,0.2683,15563.85,3054.84,14394.24,5.0948,0.7731,
2026-05-05T10:53:18.067464,539,0,69,48,0,37628,4740,11713,7.9384,0.2765,75363.72,6326.62,34109.81,11.9122,0.4176,
2026-05-05T10:53:19.069596,515,0,69,34,0,103917,15668,25311,6.6324,0.2117,25539.69,22586.55,14572.45,1.1307,0.3028,
2026-05-05T10:53:20.071237,514,0,66,30,0,39611,45380,17659,0.8729,0.2078,2351.32,23391.75,11246.41,0.1005,0.4369,
2026-05-05T10:53:21.072785,499,0,70,38,0,69801,17504,7074,3.9877,0.081,155490.72,23856.1,10226.15,6.5179,0.057,
