Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-29T12:16:00.456265,520,0,51,1,0,82123,40745,28103,2.0155,0.2287,1519.22,4107.65,5997.31,0.3699,1.0658,
2026-05-29T12:16:01.462767,515,0,54,7,0,206611,113219,33252,1.8249,0.104,145778.91,17335.91,14139.01,8.4091,0.0867,
2026-05-29T12:16:02.465999,514,0,54,10,0,489662,118313,16027,4.1387,0.0264,16254.45,1663.04,7486.33,9.7739,0.4178,
2026-05-29T12:16:03.468973,513,0,44,17,0,106805,126513,41363,0.8442,0.1773,1230770.24,117345.54,33437.64,10.4884,0.0248,
2026-05-29T12:16:04.481137,519,0,50,43,0,128570,43537,66962,2.9531,0.3891,54419.9,6688.97,10805.1,8.1358,0.1768,
2026-05-29T12:16:05.485208,514,0,56,38,0,70131,22594,21905,3.104,0.2362,45561.3,8292.29,10448.44,5.4944,0.194,
2026-05-29T12:16:06.488840,513,297,50,27,51,293841,268937,96003,1.0926,0.1706,327009.57,179789.99,69920.85,1.8188,0.138,
2026-05-29T12:16:07.493581,494,215,50,27,0,58667,6315,3494,9.2901,0.0538,74181.21,71170.45,33285.89,1.0423,0.229,
2026-05-29T12:16:08.496777,534,0,54,17,0,9374,6774,3990,1.3838,0.2471,160665.36,18013.09,5567.44,8.9194,0.0312,
2026-05-29T12:16:09.500763,514,0,70,11,0,34799,14805,16166,2.3505,0.3259,227796.38,17240.51,24327.21,13.2129,0.0993,
2026-05-29T12:16:10.504810,508,0,61,16,0,21745,10433,6982,2.0843,0.217,67497.12,40993.09,14216.92,1.6465,0.131,
2026-05-29T12:16:11.508050,508,0,81,23,0,162004,85448,29907,1.8959,0.1209,103924.61,26137.46,36293.25,3.9761,0.279,
2026-05-29T12:16:12.511500,527,0,94,44,0,195118,83243,47450,2.344,0.1705,75808.54,10668.39,68739.66,7.1059,0.7949,
2026-05-29T12:16:13.514117,512,0,90,40,0,17455,19058,28899,0.9159,0.7915,58508.18,24494.22,11777.15,2.3887,0.1419,
2026-05-29T12:16:14.518521,515,0,100,44,0,19297,7922,5952,2.4359,0.2187,132147.82,10848.81,35889.66,12.1809,0.251,
2026-05-29T12:16:15.520159,512,0,93,43,0,89004,22098,24497,4.0277,0.2205,4835.99,2418.59,12849.09,1.9995,1.7712,
2026-05-29T12:16:16.523611,515,0,93,30,0,46463,40112,8432,1.1583,0.0974,4775.95,2824.67,7357.36,1.6908,0.968,
2026-05-29T12:16:17.527438,514,0,83,41,0,35205,36872,23873,0.9548,0.3312,456558.38,83905.66,20370.56,5.4413,0.0377,
