Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-29T12:32:38.557496,533,0,63,16,0,150173,84091,26760,1.7858,0.1142,2284316.0,550303.1,99081.2,4.151,0.035,
2026-05-29T12:32:39.561255,514,0,74,16,0,10391,1997,2118,5.2033,0.171,30056.61,8329.24,10666.02,3.6086,0.2779,
2026-05-29T12:32:40.565865,514,0,30,11,0,50671,12180,7104,4.1602,0.113,7964.51,1645.67,6489.34,4.8397,0.6753,
2026-05-29T12:32:41.570348,509,0,35,8,0,56728,38480,23183,1.4742,0.2435,101392.02,37490.35,17488.38,2.7045,0.1259,
2026-05-29T12:32:42.583887,521,0,40,20,0,205130,77402,14515,2.6502,0.0514,293352.58,76553.52,35918.85,3.832,0.0971,
2026-05-29T12:32:43.586784,517,0,37,16,0,55845,18512,9926,3.0167,0.1335,223082.57,46111.88,18855.62,4.8379,0.07,
2026-05-29T12:32:44.590176,483,0,53,21,0,98000,27498,5726,3.5639,0.0456,1627508.25,423994.38,185655.93,3.8385,0.0905,
2026-05-29T12:32:45.593772,544,0,30,26,0,200557,51925,32867,3.8624,0.1302,1780402.58,69057.59,17790.89,25.7814,0.0096,
2026-05-29T12:32:46.598073,513,0,16,17,0,24511,8910,5602,2.751,0.1676,359716.16,55018.07,28749.83,6.5381,0.0693,
2026-05-29T12:32:47.602259,514,0,43,16,0,42121,13358,20792,3.1532,0.3748,245971.57,67488.81,44126.66,3.6446,0.1408,
2026-05-29T12:32:48.607329,515,0,60,13,0,49778,14985,14004,3.3219,0.2162,976819.85,168253.65,21693.91,5.8056,0.0189,
2026-05-29T12:32:49.610775,515,0,75,11,0,363723,37479,31697,9.7047,0.079,14317558.31,2318024.8,455241.52,6.1766,0.0274,
2026-05-29T12:32:50.613985,514,329,61,3,26,279037,55093,38467,5.0648,0.1151,19199355.04,3291699.87,1037042.68,5.8327,0.0461,
2026-05-29T12:32:51.619002,515,515,61,3,26,515048,112838,74839,4.5645,0.1192,2833227.27,424936.97,568385.52,6.6674,0.1744,
2026-05-29T12:32:52.621720,496,180,61,3,0,6266,6915,2994,0.9061,0.2271,3296946.36,464919.46,65177.23,7.0914,0.0173,
2026-05-29T12:32:53.624250,528,0,60,13,0,331930,46148,16257,7.1927,0.043,256079.37,115504.65,105781.21,2.217,0.2847,
2026-05-29T12:32:54.628869,517,0,34,8,0,96940,17809,23279,5.4433,0.2029,211829.65,190799.48,97558.32,1.1102,0.2423,
2026-05-29T12:32:55.632302,513,0,40,3,0,5786,2516,1874,2.2997,0.2257,2798200.11,131713.29,94417.51,21.2446,0.0322,
2026-05-29T12:32:56.636197,496,0,44,14,0,111836,31732,17229,3.5244,0.12,1582819.01,323130.4,17425.18,4.8984,0.0091,
2026-05-29T12:32:57.639162,532,0,26,4,0,75828,25533,18283,2.9698,0.1804,44011.15,12215.15,20079.35,3.603,0.3571,
2026-05-29T12:32:58.643405,513,0,50,11,0,69007,15451,13969,4.4662,0.1654,25762.21,12461.87,16964.45,2.0673,0.4438,
2026-05-29T12:32:59.647776,513,0,64,13,0,111946,18722,22752,5.9794,0.1741,91448.2,23045.89,7208.01,3.9681,0.063,
2026-05-29T12:33:00.651345,516,0,61,7,0,74903,10978,4558,6.823,0.0531,986568.81,270210.58,71829.84,3.6511,0.0572,
2026-05-29T12:33:01.654630,514,0,48,1,0,11075,4903,5372,2.2588,0.3362,94318.54,56125.97,64508.44,1.6805,0.4288,
2026-05-29T12:33:02.658485,513,0,57,1,0,67366,34463,28139,1.9547,0.2763,488459.59,36940.8,84003.33,13.2228,0.1599,
2026-05-29T12:33:03.663106,491,0,61,7,0,112869,32936,44646,3.4269,0.3062,1937403.79,50274.05,20238.07,38.5369,0.0102,
2026-05-29T12:33:04.666530,538,0,80,11,0,8282,4434,733,1.8678,0.0576,757857.55,24609.41,106922.24,30.7954,0.1366,
2026-05-29T12:33:05.670608,514,0,80,24,0,182569,147678,66900,1.2363,0.2026,1019217.79,283780.04,39245.66,3.5916,0.0301,
2026-05-29T12:33:06.674603,514,0,70,34,0,292171,251291,69952,1.1627,0.1287,161376.47,190925.48,51691.05,0.8452,0.1467,
2026-05-29T12:33:07.678841,502,0,54,40,0,306216,134392,17090,2.2785,0.0388,1507361.66,244371.87,155881.45,6.1683,0.089,
2026-05-29T12:33:08.683654,527,0,24,47,0,98753,10459,31326,9.4419,0.2868,285091.7,71830.92,58000.35,3.9689,0.1625,
2026-05-29T12:33:09.687718,514,0,63,27,0,211785,42365,25634,4.9991,0.1009,1831389.66,143124.64,245589.18,12.7958,0.1244,
2026-05-29T12:33:10.692316,506,0,37,14,0,109549,12422,10567,8.819,0.0866,210548.82,67858.64,37219.44,3.1028,0.1337,
2026-05-29T12:33:11.695620,522,0,24,1,0,460422,207989,75963,2.2137,0.1136,240321.28,18850.72,30497.82,12.7487,0.1177,
2026-05-29T12:33:12.699656,500,0,30,1,0,73114,53375,16075,1.3698,0.1271,4183986.93,453930.4,44063.62,9.2172,0.0095,
2026-05-29T12:33:13.703764,528,0,3,14,0,53901,39909,20015,1.3506,0.2134,151513.46,22900.14,51184.33,6.6163,0.2935,
2026-05-29T12:33:14.707010,513,0,24,24,0,149939,20752,49761,7.2253,0.2915,55505.63,59079.94,22400.43,0.9395,0.1955,
2026-05-29T12:33:15.709840,514,0,43,24,0,489011,5543,62277,88.2214,0.1259,154688.68,32972.33,49355.58,4.6915,0.263,
2026-05-29T12:33:16.714113,515,0,50,10,0,23687,8173,3399,2.8982,0.1067,49289.82,28422.23,49965.63,1.7342,0.643,
2026-05-29T12:33:17.717258,511,0,41,11,0,51454,21373,4883,2.4074,0.067,253005.66,27400.25,12554.42,9.2337,0.0448,
2026-05-29T12:33:18.722149,495,0,21,16,0,63061,14880,9772,4.238,0.1254,418333.25,60457.21,15569.82,6.9195,0.0325,
2026-05-29T12:33:19.727763,535,0,10,35,0,1312344,50085,109864,26.2023,0.0806,854993.24,54999.05,33631.25,15.5456,0.037,
2026-05-29T12:33:20.731554,515,0,14,43,0,89098,36870,95687,2.4165,0.7596,14541815.12,1731077.19,1467536.01,8.4004,0.0902,
2026-05-29T12:33:21.735469,515,392,43,41,26,64662,19613,75194,3.2969,0.8922,4774187.71,2044405.91,437003.16,2.3352,0.0641,
2026-05-29T12:33:22.738940,505,120,43,41,0,95095,128594,34729,0.7395,0.1553,145679.43,35150.54,16919.76,4.1444,0.0936,
2026-05-29T12:33:23.742298,522,0,61,48,0,107908,19596,26281,5.5066,0.2061,1116702.89,99085.28,20902.88,11.2701,0.0172,
2026-05-29T12:33:24.746139,514,0,60,44,0,229255,45704,8266,5.0161,0.0301,5596.86,6673.4,11632.1,0.8387,0.948,
