Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-21T13:26:54.871856,520,0,66,57,0,14082,6042,37200,2.3307,1.8485,8591.58,8455.98,28665.62,1.016,1.6815,
2026-05-21T13:26:55.873187,508,0,90,57,0,78391,47687,27278,1.6439,0.2164,463283.17,8120.84,21880.15,57.0487,0.0464,
2026-05-21T13:26:56.874263,518,0,87,66,0,34499,28789,13368,1.1983,0.2112,62304.61,22713.59,51575.83,2.7431,0.6066,
2026-05-21T13:26:57.875307,510,0,57,69,0,16695,11610,11886,1.438,0.4199,1551565.19,114584.34,29374.68,13.5408,0.0176,
2026-05-21T13:26:58.878812,514,0,54,93,0,247007,62636,27410,3.9435,0.0885,132826.38,46953.69,59230.36,2.8289,0.3295,
2026-05-21T13:26:59.880799,498,0,14,100,0,147680,38056,36266,3.8806,0.1953,26225.36,11872.23,24022.61,2.209,0.6306,
2026-05-21T13:27:00.882299,530,0,17,91,0,23013,36931,22901,0.6231,0.382,2105.01,7430.32,7112.73,0.2833,0.7459,
2026-05-21T13:27:01.883328,511,0,24,93,0,7000,6057,8289,1.1557,0.6348,2361.44,9042.05,7887.51,0.2612,0.6917,
2026-05-21T13:27:02.884645,514,0,23,91,0,16298,17896,8568,0.9107,0.2506,7071.37,4657.79,9347.76,1.5182,0.797,
2026-05-21T13:27:03.885955,501,0,43,100,0,5785,13387,6446,0.4321,0.3362,2881.66,6899.36,10932.81,0.4177,1.1178,
2026-05-21T13:27:04.887400,524,0,51,100,0,12077,18630,16838,0.6483,0.5483,9906.08,15616.23,11921.33,0.6343,0.4671,
2026-05-21T13:27:05.889056,503,0,60,100,0,11443,8150,8415,1.404,0.4295,10747.26,1389.36,11258.31,7.7354,0.9276,
2026-05-21T13:27:06.890535,523,0,61,100,0,9311,8039,21735,1.1582,1.2527,4303.65,8633.66,7206.76,0.4985,0.5571,
2026-05-21T13:27:07.891673,505,0,66,94,0,3766,21621,12418,0.1742,0.4891,3906.57,10999.74,5440.09,0.3552,0.365,
2026-05-21T13:27:08.893167,518,0,64,94,0,9547,7326,15949,1.3032,0.9452,4620.65,1796.11,13007.84,2.5726,2.0272,
2026-05-21T13:27:09.894086,515,0,74,87,0,5137,19802,9937,0.2594,0.3985,4161.98,7926.23,5970.64,0.5251,0.4939,
2026-05-21T13:27:10.895453,513,0,66,97,0,10983,13898,9126,0.7903,0.3668,3230.68,1985.28,17893.48,1.6273,3.4305,
2026-05-21T13:27:11.897135,510,0,64,100,0,3133,4065,16765,0.7707,2.3291,3424.24,6604.13,12067.26,0.5185,1.2033,
2026-05-21T13:27:12.898186,513,0,81,90,0,7588,12693,16772,0.5978,0.827,1396.56,5262.86,11995.25,0.2654,1.8012,
2026-05-21T13:27:13.899807,514,0,78,96,0,9778,8132,11881,1.2024,0.6634,4385.54,1319.38,5814.77,3.3239,1.0193,
2026-05-21T13:27:14.905626,495,0,83,84,0,6984,8102,11290,0.862,0.7484,3164.52,7783.31,18865.04,0.4066,1.7232,
2026-05-21T13:27:15.907959,533,0,81,80,0,8739,21227,16804,0.4117,0.5608,8308.02,13602.87,10063.03,0.6108,0.4593,
2026-05-21T13:27:16.909185,496,0,64,94,0,25341,13272,12013,1.9094,0.3111,4369.27,25983.12,8894.27,0.1682,0.293,
2026-05-21T13:27:17.911361,530,0,51,90,0,5924,43068,15287,0.1375,0.312,36782.43,10550.46,19665.83,3.4863,0.4155,
2026-05-21T13:27:18.912315,502,0,41,100,0,52424,25011,16718,2.096,0.2159,2445.13,4650.51,19533.02,0.5258,2.7528,
2026-05-21T13:27:19.916515,525,0,38,96,0,6536,16768,23450,0.3898,1.0063,2639.06,8731.87,9251.74,0.3022,0.8136,
2026-05-21T13:27:20.918570,513,0,40,88,0,4383,9289,7035,0.4718,0.5146,16388.91,5241.99,16445.89,3.1265,0.7603,
2026-05-21T13:27:21.921985,506,0,50,93,0,14180,14247,17749,0.9953,0.6244,2683.75,16334.18,13038.28,0.1643,0.6856,
2026-05-21T13:27:22.923552,509,0,60,78,0,2801,29327,24378,0.0955,0.7588,201659.49,45825.0,44467.05,4.4006,0.1797,
