Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-21T13:16:21.568850,503,0,21,56,0,9937,8188,16503,1.2136,0.9105,220628.16,50213.76,24868.44,4.3938,0.0918,
2026-05-21T13:16:22.570517,521,0,44,63,0,57944,37791,19891,1.5333,0.2078,5971.02,13694.28,12536.21,0.436,0.6375,
2026-05-21T13:16:23.571950,515,0,21,80,0,13959,30489,11168,0.4578,0.2513,119273.14,45421.99,73219.88,2.6259,0.4446,
2026-05-21T13:16:24.573798,512,0,44,100,0,44201,22681,18422,1.9488,0.2754,26053.69,10459.55,46153.59,2.4909,1.264,
2026-05-21T13:16:25.576316,512,0,50,87,0,133051,38228,39582,3.4805,0.2311,75122.11,12484.16,27458.46,6.0174,0.3134,
2026-05-21T13:16:26.577324,514,0,14,63,0,75805,25694,30918,2.9503,0.3046,29190.85,16571.76,17458.68,1.7615,0.3815,
2026-05-21T13:16:27.594634,491,0,16,24,0,53295,17426,29888,3.0584,0.4226,12602.57,8400.05,28987.22,1.5003,1.3802,
2026-05-21T13:16:28.595797,542,0,20,1,0,30551,19844,35855,1.5396,0.7115,258285.88,124821.51,66362.54,2.0692,0.1732,
2026-05-21T13:16:29.599173,515,0,40,1,0,77276,40534,32903,1.9064,0.2793,42767.42,9399.36,15323.42,4.55,0.2937,
2026-05-21T13:16:30.600480,511,0,47,1,0,62562,79673,18733,0.7852,0.1317,111385.75,46998.74,19017.73,2.37,0.1201,
2026-05-21T13:16:31.601702,514,0,41,21,0,36858,58830,26181,0.6265,0.2736,93804.64,60801.8,64071.39,1.5428,0.4144,
2026-05-21T13:16:32.603678,511,0,27,57,0,37496,44178,65524,0.8487,0.8023,14661.98,14292.9,33773.58,1.0258,1.1664,
2026-05-21T13:16:33.605054,491,0,17,67,0,57475,51496,41214,1.1161,0.3782,9958.67,8207.78,28435.32,1.2133,1.5653,
2026-05-21T13:16:34.606170,518,0,17,77,0,7126,11996,37918,0.594,1.983,82320.22,71219.35,67344.77,1.1559,0.4386,
2026-05-21T13:16:35.607502,521,0,56,43,0,42339,23840,11205,1.776,0.1693,65913.72,14542.69,19155.85,4.5324,0.2381,
2026-05-21T13:16:36.609318,523,0,48,24,0,44580,27570,30391,1.617,0.4212,57498.68,71033.43,32597.33,0.8095,0.2536,
2026-05-21T13:16:37.610350,505,0,38,20,0,12136,13265,12390,0.9149,0.4878,25785.21,29582.95,27449.06,0.8716,0.4958,
2026-05-21T13:16:38.611374,519,0,38,21,0,48485,19562,8127,2.4785,0.1194,32453.59,14017.2,19803.32,2.3153,0.4261,
2026-05-21T13:16:39.612486,509,0,4,29,0,89065,53227,48737,1.6733,0.3425,151808.5,35387.85,25676.94,4.2898,0.1372,
2026-05-21T13:16:40.617021,516,0,7,44,0,34142,107514,44543,0.3176,0.3144,95640.45,43477.23,50053.18,2.1998,0.3598,
2026-05-21T13:16:41.618385,509,0,7,44,0,34142,107514,44543,0.3176,0.3144,7165.34,16461.28,13696.26,0.4353,0.5797,
2026-05-21T13:16:42.620022,517,0,24,78,0,13971,4110,14154,3.3993,0.7828,5860.02,1965.22,23319.48,2.9819,2.98,
2026-05-21T13:16:43.621218,512,0,30,63,0,17963,39764,14106,0.4517,0.2444,7242.91,25583.63,13605.67,0.2831,0.4145,
2026-05-21T13:16:44.622979,514,0,44,74,0,137208,7286,12563,18.8317,0.0869,30675.07,13953.73,35538.96,2.1983,0.7963,
2026-05-21T13:16:45.624442,509,0,35,30,0,40209,17446,27176,2.3048,0.4714,26392.32,15027.11,20712.51,1.7563,0.5001,
2026-05-21T13:16:46.625463,516,0,21,26,0,90616,36828,14111,2.4605,0.1107,79161.61,37892.96,17663.87,2.0891,0.1509,
2026-05-21T13:16:47.626379,512,0,1,53,0,169205,36545,19615,4.63,0.0953,54279.16,47303.97,21977.71,1.1475,0.2164,
2026-05-21T13:16:48.627860,508,0,1,29,0,43860,26203,20826,1.6739,0.2972,7259.18,8054.35,11758.92,0.9013,0.7679,
2026-05-21T13:16:49.629185,519,0,13,56,0,265321,25533,37889,10.3913,0.1303,139479.27,27731.52,40259.84,5.0296,0.2408,
2026-05-21T13:16:50.630864,484,0,13,56,0,265321,25533,37889,10.3913,0.1303,1315244.16,188135.17,50871.81,6.991,0.0338,
2026-05-21T13:16:51.631952,542,0,34,44,0,434102,269454,53546,1.611,0.0761,157623.66,34984.24,259649.42,4.5056,1.3481,
2026-05-21T13:16:52.633069,512,0,27,60,0,70119,18061,23510,3.8823,0.2666,5998.2,3699.4,17252.35,1.6214,1.779,
2026-05-21T13:16:53.634561,511,0,30,51,0,52943,46020,30235,1.1504,0.3055,578338.76,110321.66,17199.89,5.2423,0.025,
2026-05-21T13:16:54.635770,502,0,30,51,0,52943,46020,30235,1.1504,0.3055,475653.87,25171.24,13383.85,18.8967,0.0267,
2026-05-21T13:16:55.637557,526,0,10,56,0,22360,57048,24283,0.392,0.3058,357053.51,20829.24,24518.18,17.1419,0.0649,
2026-05-21T13:16:56.638694,489,0,10,56,0,22360,57048,24283,0.392,0.3058,11444.17,13684.27,39175.97,0.8363,1.559,
2026-05-21T13:16:57.639880,521,0,27,66,0,34854,12645,39539,2.7563,0.8324,47195.27,13038.17,15721.34,3.6198,0.261,
2026-05-21T13:16:58.641055,526,0,37,57,0,75268,18528,16715,4.0624,0.1782,7237.44,8041.97,23436.85,0.9,1.5339,
2026-05-21T13:16:59.642264,514,0,50,64,0,30151,73715,29607,0.409,0.285,36393.8,28858.91,21696.74,1.2611,0.3325,
2026-05-21T13:17:00.643566,497,0,47,66,0,60197,27479,14303,2.1907,0.1631,137884.97,13203.25,15324.2,10.4433,0.1014,
2026-05-21T13:17:01.645361,529,0,17,77,0,19403,25613,21182,0.7575,0.4705,10790.29,30560.37,23546.26,0.3531,0.5694,
2026-05-21T13:17:02.646698,496,0,34,83,0,8575,5763,8519,1.4879,0.5942,1498.82,3702.43,7523.57,0.4048,1.4465,
